building_age,total_floor_count,floor_no,room_count,size,District,Neighboorhood,mortgage,value
5,5,1,2+1,90,Ümraniye,Elmalıkent,80000,110000
0,9,7,3+1,150,Kadıköy,Göztepe,0,570000
6-10 arası,5,4,2+1,105,Sultangazi,Malkoçoğlu,240000,300000
6-10 arası,5,3,2+1,90,Pendik,Ahmet Yesevi,135000,300000
11-15 arası,5,5,4+2,90,Ümraniye,İstiklal,60000,175000
16-20 arası,5,3,3+1,120,Beşiktaş,Abbasağa,340000,425000
0,5,5,4+2,140,Ümraniye,Armağanevler,65000,150000
31-35 arası,4,4,2+1,100,Güngören,Abdurrahman Nafiz Gürman,75000,130000
36-40 arası,4,Kot 1,3+1,115,Bayrampaşa,Yenidoğan,340000,425000
0,5,Bahçe katı,2+1,100,Esenyurt,Mehmet Akif Ersoy,0,170000
11-15 arası,10,Yüksek Giriş,2+1,80,Başakşehir,Başak,0,345000
1,4,4,5+2,150,Ümraniye,Çakmak,0,245000
0,4,2,3+1,110,Kadıköy,Fenerbahçe,1775000,1775000
6-10 arası,10-20 arası,16,3+1,147,Ümraniye,Tatlısu,355000,355000
0,5,5,3+1,150,Kağıthane,Hamidiye,135000,160000
6-10 arası,10-20 arası,16,3+1,147,Ümraniye,Tatlısu,360000,360000
6-10 arası,8,7,3+1,140,Ümraniye,Tatlısu,350000,440000
16-20 arası,10-20 arası,2,3+1,140,Başakşehir,Bahçeşehir 2. Kısım,0,245000
0,3,1,2+1,110,Küçükçekmece,Sultan Murat,240000,240000
4,4,Kot 4,4+2,170,Avcılar,Merkez,315000,700000
0,4,2,3+1,130,Arnavutköy,Taşoluk,0,145000
36-40 arası,4,4,3+1,95,Kadıköy,Eğitim,300000,300000
36-40 arası,3,Yüksek Giriş,3+1,110,Fatih,Silivrikapı,90000,130000
4,5,Kot 2,3+1,150,Beylikdüzü,Cumhuriyet,195000,245000
0,5,Kot 2,2+1,125,Esenyurt,Talatpaşa,0,145000
6-10 arası,4,Kot 2,2+1,90,Şile,Balibey,195000,195000
11-15 arası,6,Bahçe katı,3+1,160,Bayrampaşa,Kartaltepe,125000,155000
16-20 arası,5,3,3+1,120,Avcılar,Gümüşpala,80000,420000
16-20 arası,10,7,3+1,150,Esenyurt,Gökevler,180000,225000
16-20 arası,5,1,4+1,180,Sarıyer,Darüşşafaka,0,450000
0,5,1,2+1,110,Pendik,Ahmet Yesevi,0,140000
0,3,3,4+1,160,Bağcılar,15 Temmuz,415000,520000
0,4,Kot 2,2+1,95,Büyükçekmece,Atatürk,240000,240000
21-25 arası,5,Kot 4,1+1,85,Sarıyer,Yeniköy,505000,505000
