building_age,total_floor_count,floor_no,room_count,size,District,Neighboorhood,mortgage,value
16-20 arası,5,4,3+1,175,Silivri,Mimar Sinan,180000,225000
5,4,4,3+1,110,Esenler,Menderes,80000,125000
0,4,4,3+1,100,Esenler,Fatih,190000,240000
6-10 arası,5,4,3+1,84,Pendik,Yeşilbağlar,165000,165000
0,4,4,6+2,200,Başakşehir,Altınşehir,0,190000
0,5,4,5+2,175,Sultangazi,Zübeyde Hanım,0,135000
11-15 arası,5,4,3+1,145,Silivri,Yeni,160000,160000
6-10 arası,5,4,3+1,120,Bahçelievler,Soğanlı,0,100000
6-10 arası,5,4,3+2,200,Beylikdüzü,Kavaklı,0,165000
6-10 arası,4,4,4+2,170,Maltepe,Fındıklı,0,490000
6-10 arası,5,4,3+1,120,Avcılar,Mustafa Kemal Paşa,0,150000
6-10 arası,5,4,2+1,85,Bahçelievler,Siyavuşpaşa,175000,175000
0,4,4,4+1,200,Kadıköy,Caferağa,1730000,1850000
5,4,4,3+1,110,Esenler,Menderes,150000,150000
0,10-20 arası,4,3+1,95,Kadıköy,Erenköy,90000,255000
0,5,4,3+1,115,Bahçelievler,Soğanlı,0,150000
16-20 arası,4,4,3+1,130,Maltepe,Feyzullah,0,220000
0,5,4,3+1,125,Bahçelievler,Şirinevler,0,150000
0,4,4,5+1,200,Bahçelievler,Yenibosna Merkez,110000,150000
0,5,4,4+2,200,Sultangazi,Cebeci,90000,150000
0,5,4,2+1,85,Tuzla,Evliya Çelebi,0,160000
0,4,4,4+1,160,Zeytinburnu,Gökalp,185000,230000
26-30 arası,4,4,3+1,110,Maltepe,Bağlarbaşı,0,165000
0,5,4,2+1,110,Beylikdüzü,Adnan Kahveci,90000,125000
0,5,4,3+1,110,Bahçelievler,Bahçelievler,350000,440000
0,5,4,3+1,105,Eyüpsultan,Göktürk Merkez,0,270000
0,5,4,2+1,80,Bahçelievler,Siyavuşpaşa,100000,125000
0,5,4,4+2,200,Maltepe,Cevizli,0,175000
0,5,4,2+1,110,Şişli,İnönü,95000,195000
0,5,4,3+1,145,Bahçelievler,Şirinevler,0,260000
6-10 arası,4,4,4+1,145,Bahçelievler,Siyavuşpaşa,0,355000
0,5,4,3+2,200,Beylikdüzü,Marmara,70000,125000
21-25 arası,4,4,2+1,85,Güngören,Abdurrahman Nafiz Gürman,295000,370000
26-30 arası,4,4,3+1,125,Fatih,Sümbül Efendi,305000,520000
0,5,4,4+2,170,Sultangazi,50. Yıl,135000,170000
0,5,4,4+2,180,Sultangazi,Esentepe,350000,440000
6-10 arası,5,4,3+1,120,Avcılar,Mustafa Kemal Paşa,0,165000
4,4,4,3+1,100,Esenler,Fevzi Çakmak,270000,340000
26-30 arası,4,4,3+1,110,Kartal,Petroliş,0,130000
31-35 arası,4,4,4+1,180,Güngören,Abdurrahman Nafiz Gürman,0,240000
0,5,4,2+1,100,Bahçelievler,Siyavuşpaşa,270000,340000
0,5,4,3+1,125,Bahçelievler,Siyavuşpaşa,190000,240000
0,5,4,3+1,115,Sultangazi,İsmetpaşa,0,130000
0,5,4,3+2,170,Beylikdüzü,Gürpınar,70000,110000
26-30 arası,4,4,2+1,80,Maltepe,Altıntepe,85000,115000
6-10 arası,5,4,4+1,195,Sancaktepe,Emek,490000,835000
0,5,4,3+1,127,Sultangazi,Cebeci,0,145000
21-25 arası,4,4,2+1,100,Maltepe,Çınar,90000,150000
0,5,4,3+2,110,Beylikdüzü,Yakuplu,0,390000
16-20 arası,4,4,3+1,88,Maltepe,Feyzullah,360000,450000
0,5,4,4+2,180,Sultangazi,Cebeci,0,195000
0,5,4,3+2,180,Başakşehir,Güvercintepe,70000,100000
0,5,4,3+1,130,Bahçelievler,Kocasinan Merkez,610000,610000
0,4,4,4+1,150,Eyüpsultan,Esentepe,0,120000
11-15 arası,4,4,3+1,120,Pendik,Çamlık,195000,195000
1,4,4,3+1,110,Esenler,Yavuz Selim,155000,195000
0,4,4,4+1,110,Sultanbeyli,Battalgazi,85000,310000
0,5,4,2+1,90,Bahçelievler,Siyavuşpaşa,190000,495000
0,4,4,3+1,130,Üsküdar,Bulgurlu,145000,180000
0,5,4,3+1,120,Gaziosmanpaşa,Bağlarbaşı,130000,200000
3,4,4,2+2,110,Kağıthane,Çeliktepe,0,660000
0,5,4,3+1,115,Bahçelievler,Siyavuşpaşa,125000,230000
0,5,4,3+1,120,Bahçelievler,Siyavuşpaşa,0,265000
0,4,4,3+1,120,Şişli,Fulya,315000,410000
0,5,4,5+2,110,Beylikdüzü,Beylikdüzü OSB,415000,415000
0,5,4,3+1,160,Beylikdüzü,Dereağzı,235000,295000
0,4,4,4+1,135,Sancaktepe,Osmangazi,65000,130000
0,4,4,4+2,170,Bahçelievler,Soğanlı,0,200000
0,5,4,2+1,87,Eyüpsultan,Karadolap,0,165000
0,5,4,4+2,165,Beylikdüzü,Gürpınar,380000,475000
0,5,4,3+1,145,Beylikdüzü,Adnan Kahveci,0,180000
0,5,4,3+2,110,Beylikdüzü,Cumhuriyet,55000,125000
0,5,4,3+2,185,Beylikdüzü,Yakuplu,40000,110000
0,5,4,4+2,200,Beylikdüzü,Yakuplu,255000,320000
5,4,4,4+1,165,Ümraniye,Çakmak,110000,115000
36-40 arası,5,4,2+1,90,Bakırköy,Zuhuratbaba,0,230000
4,4,4,3+2,175,Avcılar,Cihangir,85000,150000
1,4,4,2+1,80,Kartal,Petroliş,350000,440000
0,4,4,3+2,190,Maltepe,İdealtepe,635000,635000
26-30 arası,4,4,3+1,135,Beşiktaş,Türkali,0,305000
0,5,4,3+1,110,Bahçelievler,Siyavuşpaşa,150000,190000
0,5,4,3+1,125,Bahçelievler,Şirinevler,0,450000
0,5,4,2+1,90,Pendik,Bahçelievler,75000,130000
0,5,4,2+1,100,Bahçelievler,Siyavuşpaşa,0,215000
3,5,4,3+1,120,Bahçelievler,Siyavuşpaşa,0,360000
26-30 arası,4,4,2+1,90,Güngören,Haznedar,160000,200000
0,4,4,3+1,140,Tuzla,Yayla,205000,255000
0,5,4,4+2,190,Sultangazi,Esentepe,370000,460000
0,5,4,3+1,120,Tuzla,Evliya Çelebi,155000,155000
16-20 arası,5,4,2+1,85,Gaziosmanpaşa,Şemsipaşa,0,140000
0,4,4,3+1,140,Bahçelievler,Yenibosna Merkez,0,130000
0,5,4,3+1,100,Maltepe,Altayçeşme,355000,445000
0,5,4,4+2,174,Ümraniye,Çakmak,0,180000
0,5,4,2+1,97,Ataşehir,Esatpaşa,0,160000
3,4,4,3+2,160,Sancaktepe,Yenidoğan,50000,120000
26-30 arası,4,4,3+1,130,Pendik,Batı,200000,200000
0,5,4,3+1,125,Beylikdüzü,Marmara,0,410000
0,5,4,3+2,160,Bağcılar,Sancaktepe,0,215000
0,5,4,2+1,80,Bahçelievler,Şirinevler,105000,165000
0,5,4,4+2,180,Sultangazi,Cebeci,190000,240000
0,5,4,4+2,180,Sultangazi,Malkoçoğlu,0,165000
0,4,4,2+1,106,Maltepe,İdealtepe,210000,260000
0,4,4,4+1,160,Küçükçekmece,İstasyon,140000,175000
21-25 arası,4,4,2+1,80,Bahçelievler,Bahçelievler,0,325000
0,4,4,5+1,160,Bahçelievler,Yenibosna Merkez,0,215000
0,5,4,4+2,190,Esenyurt,Güzelyurt,80000,125000
0,5,4,3+1,105,Eyüpsultan,Göktürk Merkez,0,695000
2,5,4,3+1,130,Çatalca,Ferhatpaşa,0,160000
2,4,4,4+1,145,Bağcılar,Kazım Karabekir,50000,100000
0,4,4,4+1,140,Pendik,Kavakpınar,245000,305000
6-10 arası,4,4,4+2,200,Gaziosmanpaşa,Pazariçi,160000,160000
0,5,4,4+1,170,Esenyurt,Güzelyurt,175000,175000
0,4,4,5+1,180,Bahçelievler,Yenibosna Merkez,0,600000
0,5,4,2+1,85,Beylikdüzü,Kavaklı,65000,105000
0,4,4,4+1,170,Bahçelievler,Yenibosna Merkez,0,155000
0,5,4,3+2,190,Beylikdüzü,Kavaklı,125000,155000
0,5,4,3+2,160,Şişli,Mecidiyeköy,0,215000
2,4,4,3+1,110,Çekmeköy,Merkez,295000,370000
0,5,4,3+1,125,Bahçelievler,Şirinevler,185000,450000
0,5,4,3+2,180,Beylikdüzü,Kavaklı,220000,275000
0,5,4,4+1,180,Sultangazi,Yunus Emre,270000,340000
0,5,4,4+1,150,Sultangazi,Sultançiftliği,0,230000
0,5,4,4+2,180,Sultangazi,Uğur Mumcu,40000,450000
0,4,4,3+2,111,Ümraniye,Tantavi,455000,455000
26-30 arası,4,4,2+1,80,Şişli,Teşvikiye,325000,325000
0,4,4,4+1,160,Bahçelievler,Bahçelievler,350000,350000
0,5,4,4+2,170,Sultangazi,75. Yıl,0,185000
6-10 arası,5,4,3+1,120,Ümraniye,Mehmet Akif,0,150000
0,5,4,4+1,170,Esenyurt,Güzelyurt,385000,385000
0,5,4,3+1,90,Eyüpsultan,Çırçır,0,155000
0,5,4,2+1,90,Bahçelievler,Soğanlı,0,415000
0,5,4,2+1,100,Bahçelievler,Şirinevler,0,145000
4,4,4,3+1,130,Şişli,Bozkurt,260000,845000
0,5,4,3+2,180,Beylikdüzü,Kavaklı,0,400000
4,4,4,3+1,125,Kağıthane,Çağlayan,395000,395000
0,4,4,3+2,135,Maltepe,İdealtepe,390000,710000
6-10 arası,5,4,4+2,180,Sultangazi,Uğur Mumcu,215000,405000
26-30 arası,4,4,5+1,200,Küçükçekmece,Fatih,430000,430000
0,5,4,4+2,190,Sultangazi,Uğur Mumcu,380000,380000
2,4,4,3+1,140,Sancaktepe,Osmangazi,0,355000
0,5,4,3+2,190,Beylikdüzü,Kavaklı,0,120000
1,4,4,3+1,120,Sancaktepe,Atatürk,0,100000
0,5,4,2+1,85,Bahçelievler,Siyavuşpaşa,0,205000
6-10 arası,5,4,3+1,90,Esenler,Fevzi Çakmak,185000,230000
2,4,4,3+1,110,Pendik,Kurtköy,85000,105000
0,5,4,2+1,100,Sultangazi,50. Yıl,295000,370000
3,4,4,4+1,145,Maltepe,İdealtepe,385000,385000
0,4,4,4+2,165,Esenyurt,Güzelyurt,0,115000
2,4,4,4+2,180,Beylikdüzü,Yakuplu,0,145000
0,5,4,2+1,85,Bahçelievler,Siyavuşpaşa,295000,370000
0,4,4,2+2,140,Avcılar,Denizköşkler,200000,250000
0,5,4,4+2,170,Bayrampaşa,Ortamahalle,150000,215000
6-10 arası,4,4,4+1,180,Avcılar,Mustafa Kemal Paşa,180000,225000
0,4,4,3+1,140,Zeytinburnu,Nuripaşa,355000,355000
6-10 arası,4,4,4+2,200,Maltepe,Fındıklı,0,550000
0,4,4,4+2,165,Sultangazi,Uğur Mumcu,0,220000
4,4,4,4+2,160,Maltepe,Girne,175000,395000
0,4,4,4+1,102,Sancaktepe,Osmangazi,0,160000
0,5,4,4+2,160,Arnavutköy,İslambey,0,145000
0,5,4,4+2,190,Esenyurt,Güzelyurt,0,145000
0,4,4,3+2,170,Beylikdüzü,Sahil,230000,230000
6-10 arası,4,4,4+1,140,Beykoz,Kavacık,250000,315000
16-20 arası,4,4,3+1,130,Maltepe,Feyzullah,225000,225000
0,5,4,3+1,110,Tuzla,İstasyon,270000,340000
0,5,4,3+2,190,Beylikdüzü,Yakuplu,0,120000
0,4,4,3+2,150,Eyüpsultan,Silahtarağa,300000,300000
0,4,4,4+1,160,Bahçelievler,Yenibosna Merkez,295000,295000
0,4,4,5+1,160,Bahçelievler,Yenibosna Merkez,190000,190000
6-10 arası,5,4,3+1,130,Üsküdar,Ahmediye,95000,130000
0,4,4,3+2,170,Maltepe,Zümrütevler,95000,120000
0,5,4,2+1,85,Bahçelievler,Hürriyet,0,135000
26-30 arası,4,4,3+1,140,Fatih,Seyyid Ömer,0,245000
0,5,4,4+2,170,Sultangazi,Gazi,105000,155000
0,4,4,4+1,170,Bahçelievler,Bahçelievler,175000,395000
1,4,4,5+1,180,Sancaktepe,Abdurrahmangazi,0,125000
0,5,4,3+2,175,Beylikdüzü,Yakuplu,0,170000
11-15 arası,5,4,3+1,140,Gaziosmanpaşa,Sarıgöl,315000,395000
0,5,4,4+2,200,Beylikdüzü,Yakuplu,60000,155000
0,4,4,4+2,165,Büyükçekmece,Murat Çeşme,120000,125000
6-10 arası,4,4,3+2,180,Avcılar,Mustafa Kemal Paşa,110000,140000
0,5,4,5+2,110,Beylikdüzü,Cumhuriyet,75000,155000
0,5,4,3+1,110,Bahçelievler,Siyavuşpaşa,0,200000
0,5,4,3+1,110,Bahçelievler,Şirinevler,0,155000
0,5,4,3+1,120,Tuzla,İstasyon,0,140000
26-30 arası,4,4,3+1,125,Güngören,Mareşal Çakmak,0,135000
0,5,4,3+2,190,Beylikdüzü,Yakuplu,0,150000
11-15 arası,4,4,3+2,150,Ümraniye,Çakmak,0,170000
0,4,4,2+1,90,Bahçelievler,Siyavuşpaşa,515000,645000
3,4,4,4+2,145,Eyüpsultan,Güzeltepe,0,210000
6-10 arası,4,4,3+1,150,Avcılar,Ambarlı,0,155000
21-25 arası,4,4,2+1,80,Bahçelievler,Bahçelievler,310000,310000
0,5,4,4+2,180,Sultangazi,Cebeci,0,280000
6-10 arası,5,4,2+1,85,Bahçelievler,Siyavuşpaşa,0,155000
0,4,4,5+1,190,Bahçelievler,Yenibosna Merkez,235000,235000
0,4,4,3+2,150,Bakırköy,Yeşilköy,0,570000
0,4,4,2+1,120,Bahçelievler,Bahçelievler,795000,995000
0,5,4,4+2,200,Sultangazi,İsmetpaşa,0,120000
0,5,4,3+1,110,Bahçelievler,Şirinevler,115000,145000
6-10 arası,4,4,4+2,165,Çekmeköy,Hamidiye,945000,1180000
0,5,4,2+1,80,Bahçelievler,Siyavuşpaşa,160000,200000
0,5,4,5+2,200,Sultangazi,Yunus Emre,0,550000
0,4,4,4+1,142,Sancaktepe,Osmangazi,0,440000
0,4,4,4+1,136,Sancaktepe,Osmangazi,125000,155000
0,5,4,4+2,200,Sultangazi,Esentepe,0,170000
0,5,4,2+1,88,Bahçelievler,Kocasinan Merkez,0,135000
31-35 arası,4,4,2+1,100,Güngören,Güven,0,100000
26-30 arası,10-20 arası,4,3+1,100,Ataşehir,İçerenköy,40000,130000
0,4,4,3+2,160,Zeytinburnu,Beştelsiz,90000,240000
0,4,4,4+1,148,Bahçelievler,Soğanlı,50000,105000
26-30 arası,4,4,3+1,125,Avcılar,Ambarlı,0,135000
0,5,4,3+1,100,Esenyurt,Güzelyurt,30000,125000
0,5,4,2+1,85,Kartal,Petroliş,350000,440000
3,4,4,4+2,170,Pendik,Güzelyalı,480000,600000
0,4,4,3+1,150,Kağıthane,Sultan Selim,0,130000
31-35 arası,4,4,3+1,100,Fatih,Silivrikapı,0,140000
0,5,4,3+2,200,Beylikdüzü,Yakuplu,230000,230000
2,4,4,3+1,160,Kadıköy,Acıbadem,930000,930000
0,5,4,3+1,120,Tuzla,İstasyon,0,200000
0,5,4,2+1,94,Ümraniye,Altınşehir,215000,375000
1,4,4,2+1,80,Bahçelievler,Cumhuriyet,0,125000
21-25 arası,4,4,2+1,110,Maltepe,Küçükyalı,0,145000
26-30 arası,4,4,2+1,85,Fatih,Silivrikapı,0,120000
0,4,4,4+2,200,Beylikdüzü,Adnan Kahveci,100000,140000
26-30 arası,10,4,3+1,110,Pendik,Doğu,0,180000
6-10 arası,5,4,4+2,160,Sultangazi,75. Yıl,0,165000
0,5,4,2+1,80,Bahçelievler,Şirinevler,0,180000
0,4,4,5+1,175,Fatih,Akşemsettin,0,665000
6-10 arası,4,4,5+1,160,Ümraniye,Armağanevler,0,225000
0,5,4,3+1,95,Maltepe,Bağlarbaşı,0,225000
0,5,4,3+1,95,Maltepe,Bağlarbaşı,60000,195000
0,4,4,4+1,185,Bahçelievler,Çobançeşme,320000,400000
0,5,4,2+1,105,Maltepe,Aydınevler,0,120000
0,5,4,2+1,95,Bahçelievler,Siyavuşpaşa,300000,375000
0,5,4,2+1,87,Bahçelievler,Şirinevler,0,150000
0,5,4,3+1,130,Bahçelievler,Hürriyet,350000,350000
0,5,4,3+1,120,Bahçelievler,Şirinevler,0,450000
6-10 arası,4,4,4+2,130,Ümraniye,Çakmak,100000,125000
0,5,4,3+1,150,Bahçelievler,Şirinevler,290000,360000
0,5,4,3+2,100,Beylikdüzü,Cumhuriyet,130000,380000
0,5,4,2+2,130,Kağıthane,Çağlayan,390000,390000
2,4,4,3+2,165,Beylikdüzü,Kavaklı,0,200000
0,4,4,4+2,120,Şişli,Kuştepe,0,175000
0,5,4,3+1,120,Gaziosmanpaşa,Bağlarbaşı,555000,555000
0,5,4,2+1,110,Bahçelievler,Siyavuşpaşa,50000,500000
0,4,4,4+1,140,Ümraniye,İstiklal,0,270000
0,4,4,4+2,200,Beylikdüzü,Adnan Kahveci,180000,180000
0,4,4,3+1,115,Tuzla,Aydınlı,385000,410000
1,4,4,3+1,115,Sancaktepe,Abdurrahmangazi,65000,120000
0,5,4,4+2,180,Sultangazi,Yunus Emre,275000,345000
0,5,4,2+1,85,Bahçelievler,Siyavuşpaşa,0,245000
0,5,4,3+2,110,Beylikdüzü,Beylikdüzü OSB,0,130000
0,5,4,4+2,180,Sultangazi,İsmetpaşa,410000,510000
0,5,4,4+2,190,Sultangazi,Cebeci,15000,105000
21-25 arası,5,4,3+1,120,Bahçelievler,Soğanlı,85000,115000
1,4,4,4+1,150,Başakşehir,Güvercintepe,140000,175000
0,4,4,5+1,200,Sancaktepe,Safa,290000,290000
0,5,4,4+2,170,Sultangazi,75. Yıl,240000,300000
11-15 arası,4,4,4+2,160,Ümraniye,Altınşehir,75000,150000
0,5,4,3+1,85,Tuzla,İstasyon,0,370000
1,4,4,4+2,195,Avcılar,Üniversite,0,265000
0,5,4,4+2,180,Sultangazi,Yunus Emre,185000,185000
0,4,4,3+2,180,Beylikdüzü,Kavaklı,350000,350000
0,4,4,3+2,105,Avcılar,Denizköşkler,400000,500000
0,4,4,3+2,180,Beylikdüzü,Kavaklı,195000,245000
0,5,4,2+1,85,Kartal,Petroliş,0,190000
0,4,4,3+1,100,Kağıthane,Nurtepe,95000,150000
0,5,4,3+1,125,Bahçelievler,Şirinevler,300000,375000
0,4,4,4+1,150,Maltepe,Çınar,0,290000
0,4,4,2+1,120,Bahçelievler,Bahçelievler,305000,850000
0,4,4,3+2,150,Bakırköy,Yeşilköy,0,580000
0,5,4,2+1,90,Sultangazi,50. Yıl,65000,110000
0,5,4,3+2,120,Beylikdüzü,Beylikdüzü OSB,0,380000
21-25 arası,4,4,3+1,145,Ataşehir,Kayışdağı,0,430000
0,4,4,2+2,155,Bahçelievler,Bahçelievler,1300000,1625000
6-10 arası,4,4,4+1,150,Maltepe,Fındıklı,75000,115000
0,5,4,4+2,187,Arnavutköy,Arnavutköy Merkez,65000,115000
0,4,4,4+2,165,Maltepe,Altıntepe,0,285000
0,5,4,3+1,118,Sancaktepe,Osmangazi,0,115000
6-10 arası,10-20 arası,4,3+1,135,Kartal,Hürriyet,0,280000
1,4,4,4+2,200,Gaziosmanpaşa,Bağlarbaşı,0,210000
0,5,4,3+2,200,Beylikdüzü,Marmara,325000,405000
0,4,4,4+2,180,Şile,Çavuş,0,220000
0,5,4,3+1,130,Sultangazi,İsmetpaşa,0,120000
0,4,4,4+1,160,Üsküdar,Ünalan,135000,170000
31-35 arası,4,4,3+1,115,Üsküdar,Ahmediye,0,170000
0,5,4,3+1,130,Bahçelievler,Hürriyet,85000,165000
0,5,4,2+1,95,Bahçelievler,Siyavuşpaşa,0,245000
2,4,4,3+2,150,Bahçelievler,Bahçelievler,300000,300000
0,5,4,3+1,115,Bahçelievler,Soğanlı,200000,450000
0,4,4,3+2,180,Beylikdüzü,Kavaklı,260000,260000
6-10 arası,5,4,3+1,120,Avcılar,Mustafa Kemal Paşa,45000,110000
11-15 arası,4,4,3+1,160,Gaziosmanpaşa,Bağlarbaşı,0,120000
0,5,4,2+1,101,Eyüpsultan,Esentepe,155000,320000
0,5,4,2+1,88,Bahçelievler,Kocasinan Merkez,0,150000
0,4,4,4+2,200,Beylikdüzü,Adnan Kahveci,350000,350000
0,5,4,3+1,110,Bahçelievler,Şirinevler,125000,410000
6-10 arası,5,4,3+1,120,Sultangazi,50. Yıl,280000,280000
0,5,4,2+1,87,Bahçelievler,Şirinevler,0,140000
0,4,4,3+1,130,Bahçelievler,Soğanlı,0,150000
0,5,4,4+2,170,Esenyurt,Mehmet Akif Ersoy,0,180000
26-30 arası,4,4,2+1,100,Fatih,Sümbül Efendi,220000,275000
21-25 arası,4,4,3+1,100,Ataşehir,İnönü,305000,305000
0,4,4,5+1,200,Sancaktepe,Safa,0,110000
0,5,4,3+2,160,Pendik,Şeyhli,40000,140000
0,4,4,5+2,200,Tuzla,Postane,385000,385000
6-10 arası,4,4,5+1,170,Üsküdar,Bulgurlu,115000,200000
0,5,4,2+1,90,Beylikdüzü,Kavaklı,0,110000
16-20 arası,4,4,4+1,180,Zeytinburnu,Sümer,0,210000
0,4,4,4+1,180,Gaziosmanpaşa,Merkez,265000,330000
21-25 arası,4,4,3+1,150,Silivri,Yeni,0,135000
0,5,4,2+1,85,Kağıthane,Çağlayan,255000,255000
0,5,4,3+1,105,Eyüpsultan,Göktürk Merkez,325000,405000
0,5,4,3+1,88,Beylikdüzü,Adnan Kahveci,65000,125000
0,5,4,2+1,90,Bahçelievler,Siyavuşpaşa,170000,170000
0,5,4,2+1,83,Pendik,Çamlık,0,210000
0,4,4,5+1,199,Sancaktepe,Yenidoğan,0,160000
4,4,4,2+1,80,Kartal,Atalar,325000,400000
4,4,4,3+1,150,Kartal,Uğur Mumcu,0,230000
21-25 arası,4,4,3+1,130,Kartal,Gümüşpınar,0,485000
6-10 arası,4,4,5+1,160,Bahçelievler,Siyavuşpaşa,0,165000
0,4,4,3+2,170,Maltepe,Zümrütevler,140000,140000
0,5,4,2+1,90,Bahçelievler,Siyavuşpaşa,50000,165000
0,4,4,4+1,160,Bahçelievler,Yenibosna Merkez,0,135000
21-25 arası,4,4,3+1,150,Silivri,Yeni,215000,215000
0,5,4,2+2,120,Çekmeköy,Güngören,0,140000
0,5,4,2+1,80,Pendik,Kurtköy,0,330000
0,4,4,4+1,150,Bahçelievler,Zafer,290000,290000
1,4,4,4+1,180,Kartal,Cevizli,360000,450000
11-15 arası,5,4,4+2,200,Başakşehir,Başakşehir,0,630000
21-25 arası,5,4,3+2,150,Gaziosmanpaşa,Sarıgöl,165000,165000
1,4,4,4+1,150,Kağıthane,Ortabayır,540000,540000
31-35 arası,10,4,2+1,85,Beyoğlu,Kadımehmet Efendi,185000,350000
0,4,4,6+1,190,Bahçelievler,Yenibosna Merkez,295000,370000
26-30 arası,4,4,3+1,140,Üsküdar,Selami Ali,290000,620000
2,4,4,3+1,120,Maltepe,Cevizli,380000,475000
0,5,4,4+2,190,Esenyurt,Güzelyurt,0,155000
6-10 arası,4,4,4+1,150,Maltepe,Fındıklı,0,110000
6-10 arası,4,4,3+1,190,Gaziosmanpaşa,Hürriyet,150000,190000
0,5,4,4+1,170,Küçükçekmece,Yeni Mahalle,390000,500000
0,5,4,4+2,175,Sultangazi,Cebeci,0,180000
0,4,4,5+1,200,Sancaktepe,Safa,0,135000
0,4,4,5+1,200,Sancaktepe,Safa,330000,410000
0,5,4,2+1,102,Bahçelievler,Siyavuşpaşa,125000,165000
0,5,4,3+1,110,Bahçelievler,Siyavuşpaşa,0,175000
6-10 arası,4,4,3+2,190,Bağcılar,Güneşli,150000,150000
6-10 arası,4,4,5+1,170,Üsküdar,Bulgurlu,560000,560000
0,5,4,3+1,118,Ataşehir,İçerenköy,155000,185000
0,5,4,3+1,135,Silivri,Mimar Sinan,225000,225000
0,4,4,3+2,160,Ataşehir,Kayışdağı,0,410000
0,5,4,3+1,130,Bahçelievler,Şirinevler,350000,440000
0,5,4,3+2,180,Beylikdüzü,Kavaklı,0,210000
0,5,4,4+2,190,Esenyurt,Güzelyurt,190000,190000
6-10 arası,5,4,5+1,190,Sancaktepe,Meclis,0,180000
16-20 arası,4,4,2+1,90,Pendik,Güzelyalı,90000,120000
11-15 arası,10-20 arası,4,3+1,110,Küçükçekmece,Atakent,0,270000
5,4,4,3+1,160,Maltepe,Bağlarbaşı,875000,1095000
0,5,4,2+1,100,Esenler,Namık Kemal,0,165000
0,5,4,3+1,100,Bakırköy,Osmaniye,755000,945000
6-10 arası,4,4,5+2,170,Sancaktepe,Eyüp Sultan,185000,415000
0,10,4,3+1,110,Tuzla,Aydınlı,0,320000
0,5,4,4+2,180,Sultangazi,Cebeci,0,190000
6-10 arası,4,4,4+1,110,Zeytinburnu,Seyitnizam,0,220000
0,5,4,2+1,107,Beylikdüzü,Marmara,0,615000
0,4,4,3+1,120,Beşiktaş,Levent,405000,810000
0,4,4,3+1,160,Zeytinburnu,Veliefendi,150000,195000
0,4,4,4+1,160,Bahçelievler,Hürriyet,60000,110000
6-10 arası,10-20 arası,4,2+1,90,Ümraniye,Mehmet Akif,95000,520000
0,5,4,3+1,106,Sancaktepe,Abdurrahmangazi,40000,110000
0,5,4,4+1,130,Fatih,Akşemsettin,765000,1200000
0,5,4,2+1,90,Sultangazi,50. Yıl,230000,290000
0,5,4,2+1,85,Tuzla,İstasyon,105000,135000
6-10 arası,4,4,5+2,200,Maltepe,İdealtepe,290000,360000
0,4,4,2+1,90,Kartal,Esentepe,185000,230000
0,5,4,2+1,80,Bahçelievler,Şirinevler,55000,130000
6-10 arası,5,4,3+1,140,Sultangazi,İsmetpaşa,100000,125000
0,4,4,4+2,160,Avcılar,Ambarlı,0,140000
6-10 arası,4,4,4+1,145,Bahçelievler,Siyavuşpaşa,0,115000
0,5,4,2+1,80,Bahçelievler,Siyavuşpaşa,55000,105000
6-10 arası,4,4,5+2,170,Zeytinburnu,Beştelsiz,0,270000
0,4,4,2+2,130,Maltepe,Zümrütevler,100000,320000
5,4,4,3+1,160,Maltepe,Bağlarbaşı,590000,890000
6-10 arası,4,4,5+1,199,Pendik,Yayalar,340000,485000
0,4,4,4+2,165,Maltepe,Altıntepe,0,325000
0,4,4,5+1,200,Bahçelievler,Yenibosna Merkez,265000,330000
0,4,4,4+1,105,Üsküdar,İcadiye,0,715000
0,5,4,3+2,145,Maltepe,İdealtepe,0,750000
0,4,4,5+2,195,Üsküdar,Ferah,355000,355000
0,10,4,3+1,125,Çekmeköy,Kirazlıdere,310000,310000
0,5,4,3+1,120,Şişli,Merkez,230000,290000
0,5,4,3+1,110,Bahçelievler,Siyavuşpaşa,130000,175000
0,5,4,5+2,175,Sultangazi,Zübeyde Hanım,115000,145000
1,4,4,5+1,180,Sancaktepe,Abdurrahmangazi,0,350000
3,4,4,5+1,175,Sancaktepe,Yenidoğan,180000,225000
0,5,4,3+2,145,Kağıthane,Seyrantepe,375000,470000
3,4,4,5+1,175,Sancaktepe,Osmangazi,120000,150000
0,4,4,4+2,160,Bahçelievler,Şirinevler,0,200000
0,4,4,4+2,165,Maltepe,Altıntepe,0,295000
0,4,4,3+2,160,Gaziosmanpaşa,Şemsipaşa,345000,460000
0,4,4,4+2,165,Maltepe,Altıntepe,145000,280000
0,4,4,3+2,180,Beylikdüzü,Kavaklı,230000,290000
0,5,4,2+1,80,Bahçelievler,Siyavuşpaşa,0,155000
0,5,4,2+1,85,Bahçelievler,Siyavuşpaşa,30000,120000
0,4,4,3+2,190,Büyükçekmece,Bahçelievler,85000,185000
0,5,4,3+1,130,Bahçelievler,Soğanlı,70000,150000
16-20 arası,4,4,3+1,100,Fatih,Balat,565000,705000
0,4,4,5+1,180,Sancaktepe,Abdurrahmangazi,165000,165000
0,4,4,3+1,140,Sancaktepe,Osmangazi,45000,110000
0,5,4,4+2,200,Sultangazi,Uğur Mumcu,120000,165000
21-25 arası,4,4,2+1,80,Bahçelievler,Bahçelievler,0,105000
